Version.[Version Name],Location.[Location],Item.[Item],12W Accuracy,12W MAPE,4W Accuracy,4W MAPE,8W Accuracy,8W MAPE
Consensus_v1,DC-Laakdal-BE,NK-AIR-FORCE-GLD-9,54.99%,58.22%,80.61%,34.32%,81.03%,29.58%
Baseline_v2,DC-Johannesburg-ZA,NK-METCON-GRY-7,73.10%,47.42%,79.68%,26.13%,78.92%,26.01%
Baseline_v2,DC-Johannesburg-ZA,NK-SHORT-DRI-BLK-L,59.32%,60.00%,76.22%,32.88%,75.64%,35.54%
Consensus_v1,DC-Tokyo-JP,NK-AIR-FORCE-RED-13,66.46%,52.18%,80.43%,28.84%,82.41%,23.21%
OP_Plan_2025,DC-Memphis-TN,NK-AIR-MAX-RED-11,75.87%,33.37%,75.92%,29.83%,86.67%,23.72%
Consensus_v2,DC-Memphis-TN,NK-BLAZER-GRN-9,79.10%,28.33%,82.12%,22.76%,74.87%,30.67%
Consensus_v2,DC-Dubai-UAE,NK-ALPHAFLY-RED-9,74.80%,44.44%,83.96%,24.51%,66.81%,59.14%
OP_Plan_2025,DC-Johannesburg-ZA,NK-CORTEZ-BLK-11,77.03%,37.87%,79.51%,31.60%,75.54%,43.46%
Baseline_v1,DC-Shanghai-CN,NK-LEBRON-GRY-11,52.39%,60.00%,78.46%,32.86%,65.66%,57.73%
Baseline_v2,DC-Portland-OR,NK-AIR-FORCE-OGR-13,74.68%,31.51%,72.13%,47.09%,80.38%,32.13%
Consensus_v1,DC-Shanghai-CN,NK-LEBRON-GLD-11,59.95%,55.87%,91.85%,12.83%,70.60%,36.40%
Consensus_v1,DC-Portland-OR,NK-CORTEZ-BLK-7,74.35%,39.43%,92.41%,11.26%,65.11%,56.80%
Consensus_v2,DC-Dubai-UAE,NK-AIR-FORCE-RED-9,70.37%,41.15%,81.83%,22.08%,64.81%,42.90%
Consensus_v2,DC-Memphis-TN,NK-SHORT-DRI-NVY-XL,52.46%,60.00%,77.73%,32.20%,81.64%,24.55%
Consensus_v1,DC-Johannesburg-ZA,NK-KD-BLU-10,55.97%,60.00%,90.59%,14.87%,84.66%,25.81%
Consensus_v1,DC-Portland-OR,NK-ALPHAFLY-BLK-11,77.54%,27.04%,74.53%,34.05%,73.10%,45.47%
Baseline_v1,DC-Shanghai-CN,NK-METCON-NVY-7,60.34%,59.93%,77.11%,29.12%,70.78%,51.60%
Baseline_v1,DC-Laakdal-BE,NK-JORDAN-WHT-9,72.79%,35.07%,73.49%,35.85%,68.42%,51.09%
OP_Plan_2025,DC-Shanghai-CN,NK-FREE-RN-OGR-10,70.30%,47.77%,94.46%,8.01%,62.86%,52.26%
OP_Plan_2025,DC-Shanghai-CN,NK-DUNK-GRN-7,57.60%,60.00%,94.67%,7.17%,79.48%,34.01%
Consensus_v1,DC-Shanghai-CN,NK-ZOOM-PEGA-BLK-13,66.26%,54.57%,81.17%,31.82%,82.76%,22.25%
Baseline_v1,DC-Johannesburg-ZA,NK-LEGGING-EPIC-GRY-L,70.65%,38.30%,87.58%,15.02%,75.31%,32.98%
Consensus_v1,DC-Sao-Paulo-BR,NK-KD-OGR-8,79.59%,35.24%,93.54%,8.28%,70.87%,36.94%
OP_Plan_2025,DC-Johannesburg-ZA,NK-BLAZER-GLD-13,52.98%,60.00%,90.80%,14.11%,75.77%,32.59%
Consensus_v2,DC-Laakdal-BE,NK-KD-GLD-9,78.39%,36.05%,79.80%,28.48%,80.87%,33.24%
Baseline_v2,DC-Memphis-TN,NK-CORTEZ-GRY-12,50.16%,60.00%,85.95%,16.94%,64.64%,56.51%
Consensus_v1,DC-Portland-OR,NK-AIR-FORCE-GRN-7,65.80%,44.70%,82.31%,31.78%,66.57%,40.47%
OP_Plan_2025,DC-Laakdal-BE,NK-VAPORFLY-BLU-12,57.81%,60.00%,85.07%,18.75%,71.56%,38.65%
Consensus_v2,DC-Tokyo-JP,NK-ALPHAFLY-RED-9,71.41%,49.14%,92.84%,10.46%,71.10%,45.86%
OP_Plan_2025,DC-Dubai-UAE,NK-SHORT-DRI-BLK-S,80.09%,35.28%,78.46%,26.16%,78.78%,27.72%
Consensus_v2,DC-Sao-Paulo-BR,NK-FREE-RN-BLU-9,68.31%,56.66%,89.20%,19.14%,70.60%,45.03%
Baseline_v2,DC-Laakdal-BE,NK-LEBRON-RED-13,67.82%,56.70%,80.86%,32.75%,70.24%,38.74%
Baseline_v1,DC-Johannesburg-ZA,NK-CORTEZ-BLK-12,66.59%,57.69%,74.24%,40.43%,87.74%,15.74%
Baseline_v2,DC-Sao-Paulo-BR,NK-METCON-GLD-9,77.75%,38.90%,80.27%,27.15%,83.04%,28.59%
Consensus_v2,DC-Memphis-TN,NK-AIR-FORCE-GRN-9,78.48%,30.19%,90.36%,15.33%,80.25%,33.13%
Baseline_v2,DC-Dubai-UAE,NK-REACT-OGR-13,81.42%,31.65%,82.08%,28.72%,70.53%,38.10%
Consensus_v2,DC-Shanghai-CN,NK-AIR-FORCE-GLD-12,66.71%,55.32%,72.86%,45.96%,71.36%,36.55%
OP_Plan_2025,DC-Memphis-TN,NK-VAPORFLY-WHT-10,72.38%,35.43%,82.52%,29.81%,67.05%,47.67%
Baseline_v2,DC-Tokyo-JP,NK-VAPORFLY-BLK-12,73.81%,35.37%,88.44%,14.16%,72.37%,40.34%
Baseline_v1,DC-Johannesburg-ZA,NK-VAPORFLY-NVY-7,64.16%,48.17%,81.85%,29.28%,63.51%,60.00%
Consensus_v1,DC-Tokyo-JP,NK-VAPORFLY-PPL-8,63.43%,49.32%,93.96%,9.92%,76.41%,36.96%
Consensus_v2,DC-Johannesburg-ZA,NK-CORTEZ-OGR-11,77.37%,36.70%,72.33%,35.13%,63.20%,45.06%
OP_Plan_2025,DC-Shanghai-CN,NK-AIR-MAX-GLD-8,70.79%,35.89%,89.56%,17.59%,71.00%,42.88%
Baseline_v2,DC-Portland-OR,NK-VAPORFLY-RED-10,67.26%,52.72%,78.00%,26.60%,86.27%,20.60%
Consensus_v1,DC-Tokyo-JP,NK-LEBRON-BLU-7,54.11%,60.00%,86.64%,22.46%,79.61%,31.49%
Baseline_v1,DC-Memphis-TN,NK-JORDAN-GRY-9,53.02%,60.00%,76.50%,29.17%,64.62%,42.84%
Baseline_v2,DC-Tokyo-JP,NK-REACT-RED-7,65.87%,55.14%,80.86%,30.79%,70.86%,39.53%
Consensus_v1,DC-Portland-OR,NK-AIR-FORCE-BLU-13,55.68%,60.00%,92.18%,12.83%,82.89%,23.43%
Baseline_v1,DC-Sao-Paulo-BR,NK-TEE-PRO-RED-XL,79.78%,34.67%,81.49%,26.34%,82.19%,25.02%
Consensus_v1,DC-Laakdal-BE,NK-AIR-FORCE-PPL-10,76.45%,32.79%,89.35%,13.43%,85.47%,21.85%
Consensus_v2,DC-Laakdal-BE,NK-KD-OGR-8,80.62%,31.13%,73.23%,47.52%,84.03%,22.57%
Baseline_v1,DC-Sao-Paulo-BR,NK-LEBRON-NVY-13,74.08%,43.42%,82.31%,24.33%,70.55%,47.23%
Consensus_v1,DC-Memphis-TN,NK-LEBRON-GRN-10,73.59%,40.35%,93.41%,11.76%,87.89%,14.93%
Baseline_v2,DC-Portland-OR,NK-LEGGING-EPIC-BLK-XL,52.69%,60.00%,75.29%,40.94%,78.07%,27.64%
Consensus_v2,DC-Portland-OR,NK-ZOOM-PEGA-GRY-8,68.60%,53.94%,92.51%,9.64%,75.35%,33.03%
Consensus_v1,DC-Memphis-TN,NK-HOODIE-CLUB-GRY-S,65.41%,49.35%,92.88%,11.08%,71.11%,46.95%
Baseline_v1,DC-Sao-Paulo-BR,NK-METCON-OGR-12,73.71%,43.65%,81.99%,24.35%,72.54%,42.37%
OP_Plan_2025,DC-Dubai-UAE,NK-HOODIE-CLUB-WHT-XL,52.65%,60.00%,87.66%,16.56%,72.41%,41.02%
OP_Plan_2025,DC-Shanghai-CN,NK-ALPHAFLY-PPL-10,66.89%,59.46%,72.28%,49.40%,63.12%,60.00%
Baseline_v1,DC-Laakdal-BE,NK-SHORT-DRI-RED-L,68.70%,54.49%,86.48%,21.87%,73.82%,41.28%
Consensus_v2,DC-Memphis-TN,NK-CORTEZ-BLU-9,60.74%,51.11%,94.05%,7.35%,72.26%,35.07%
Baseline_v1,DC-Portland-OR,NK-FREE-RN-GLD-11,64.50%,43.28%,77.28%,30.89%,71.37%,38.82%
Baseline_v1,DC-Memphis-TN,NK-LEBRON-NVY-10,80.39%,32.06%,87.75%,15.90%,85.68%,24.24%
Baseline_v1,DC-Laakdal-BE,NK-SPORTS-BRA-INDY-BLK-M,62.05%,60.00%,93.45%,11.26%,63.18%,44.77%
Baseline_v1,DC-Tokyo-JP,NK-HOODIE-CLUB-WHT-S,52.03%,58.62%,89.24%,15.45%,83.56%,25.34%
OP_Plan_2025,DC-Memphis-TN,NK-VAPORFLY-GLD-9,67.77%,53.54%,91.89%,13.69%,87.99%,21.59%
Baseline_v1,DC-Johannesburg-ZA,NK-METCON-NVY-8,69.40%,40.92%,77.69%,32.80%,65.36%,60.00%
Consensus_v2,DC-Portland-OR,NK-ZOOM-PEGA-BLU-8,74.71%,38.23%,80.24%,25.06%,79.46%,31.06%
OP_Plan_2025,DC-Tokyo-JP,NK-CORTEZ-GRN-12,65.36%,50.31%,94.26%,7.19%,82.59%,27.06%
Consensus_v1,DC-Laakdal-BE,NK-HUARACHE-OGR-8,69.46%,48.32%,90.52%,16.52%,78.05%,39.25%
Baseline_v1,DC-Tokyo-JP,NK-ALPHAFLY-RED-12,59.53%,60.00%,88.71%,17.26%,73.72%,45.89%
OP_Plan_2025,DC-Memphis-TN,NK-KD-GRN-8,64.69%,60.00%,75.38%,43.23%,74.80%,34.15%
Consensus_v1,DC-Dubai-UAE,NK-KD-GLD-7,64.72%,54.71%,76.81%,35.89%,70.88%,44.33%
Baseline_v2,DC-Laakdal-BE,NK-VAPORFLY-WHT-7,71.36%,37.33%,76.18%,33.52%,85.32%,21.80%
Baseline_v2,DC-Portland-OR,NK-ZOOM-PEGA-RED-8,67.10%,46.51%,79.94%,28.26%,62.83%,56.85%
Consensus_v1,DC-Sao-Paulo-BR,NK-LEGGING-EPIC-WHT-S,72.01%,42.18%,79.59%,28.43%,64.40%,53.00%
Baseline_v2,DC-Shanghai-CN,NK-FREE-RN-PPL-13,55.90%,58.45%,73.40%,36.33%,82.96%,28.10%
Consensus_v1,DC-Sao-Paulo-BR,NK-AIR-MAX-RED-10,72.83%,47.20%,82.64%,28.62%,62.95%,50.07%
Baseline_v2,DC-Dubai-UAE,NK-JORDAN-GRY-7,50.64%,60.00%,84.25%,21.19%,69.00%,44.22%
Consensus_v2,DC-Sao-Paulo-BR,NK-METCON-NVY-8,70.76%,43.50%,77.36%,31.82%,74.32%,36.28%
Baseline_v2,DC-Laakdal-BE,NK-LEBRON-BLU-12,60.80%,60.00%,84.83%,23.55%,76.68%,33.29%
Consensus_v2,DC-Dubai-UAE,NK-JORDAN-BLK-12,54.89%,60.00%,94.69%,8.30%,68.17%,40.14%
OP_Plan_2025,DC-Shanghai-CN,NK-ZOOM-PEGA-GLD-12,51.65%,58.55%,74.02%,43.74%,63.45%,60.00%
Consensus_v1,DC-Dubai-UAE,NK-FREE-RN-PPL-9,76.15%,32.32%,74.58%,36.58%,87.21%,22.00%
Consensus_v1,DC-Shanghai-CN,NK-LEBRON-OGR-12,55.99%,60.00%,84.81%,23.44%,69.28%,51.05%
Consensus_v2,DC-Tokyo-JP,NK-REACT-BLK-7,52.79%,60.00%,88.93%,16.80%,80.39%,32.57%
Baseline_v2,DC-Shanghai-CN,NK-KD-BLK-10,81.68%,25.53%,73.19%,37.58%,65.49%,42.72%
Baseline_v1,DC-Tokyo-JP,NK-ALPHAFLY-BLK-11,69.40%,51.31%,75.19%,29.81%,65.03%,51.89%
Baseline_v1,DC-Johannesburg-ZA,NK-AIR-FORCE-PPL-8,56.56%,60.00%,89.16%,15.67%,86.26%,24.66%
OP_Plan_2025,DC-Tokyo-JP,NK-LEBRON-BLK-7,75.59%,41.39%,73.11%,44.88%,83.53%,27.19%
Consensus_v1,DC-Tokyo-JP,NK-JACKET-WIND-WHT-M,62.56%,60.00%,87.30%,19.23%,71.33%,49.49%
OP_Plan_2025,DC-Johannesburg-ZA,NK-KD-GLD-9,62.53%,56.93%,84.41%,22.80%,77.01%,32.48%
OP_Plan_2025,DC-Portland-OR,NK-BLAZER-GRY-10,60.72%,50.42%,86.36%,17.33%,86.44%,21.39%
Consensus_v2,DC-Dubai-UAE,NK-JORDAN-GLD-9,57.95%,60.00%,92.56%,12.45%,65.94%,47.24%
OP_Plan_2025,DC-Johannesburg-ZA,NK-ZOOM-PEGA-BLK-7,77.09%,29.25%,92.17%,11.01%,83.35%,21.08%
Consensus_v1,DC-Laakdal-BE,NK-METCON-BLK-9,72.21%,42.40%,77.27%,37.12%,80.72%,30.55%
Consensus_v1,DC-Shanghai-CN,NK-CORTEZ-OGR-11,63.56%,50.03%,91.02%,15.95%,70.91%,38.88%
Consensus_v2,DC-Johannesburg-ZA,NK-AIR-MAX-NVY-10,77.91%,38.87%,85.48%,21.83%,77.90%,26.76%
OP_Plan_2025,DC-Dubai-UAE,NK-METCON-GLD-11,69.41%,44.49%,93.22%,11.02%,65.97%,52.61%
Consensus_v1,DC-Johannesburg-ZA,NK-CORTEZ-NVY-7,53.99%,60.00%,82.37%,22.35%,87.61%,21.11%
Consensus_v2,DC-Portland-OR,NK-BLAZER-BLU-13,69.32%,38.92%,80.72%,31.74%,67.35%,54.62%
Consensus_v1,DC-Laakdal-BE,NK-JORDAN-BLU-8,68.79%,38.07%,93.23%,10.02%,74.50%,44.65%
Baseline_v2,DC-Shanghai-CN,NK-HUARACHE-WHT-12,74.98%,34.20%,85.29%,19.12%,62.88%,51.48%
Baseline_v1,DC-Sao-Paulo-BR,NK-AIR-FORCE-OGR-10,52.73%,60.00%,76.09%,42.47%,65.87%,49.45%
OP_Plan_2025,DC-Dubai-UAE,NK-REACT-OGR-9,64.98%,55.15%,81.14%,27.46%,82.79%,24.25%
Baseline_v2,DC-Dubai-UAE,NK-AIR-MAX-BLU-10,66.78%,48.65%,84.99%,18.60%,82.16%,26.25%
Baseline_v2,DC-Shanghai-CN,NK-SPORTS-BRA-INDY-RED-S,61.95%,51.85%,75.57%,31.98%,84.41%,27.56%
Consensus_v1,DC-Sao-Paulo-BR,NK-JORDAN-GLD-8,67.66%,43.74%,94.52%,9.35%,84.54%,22.33%
Consensus_v1,DC-Johannesburg-ZA,NK-ALPHAFLY-RED-7,57.62%,53.38%,74.39%,43.02%,66.64%,53.09%
Baseline_v1,DC-Sao-Paulo-BR,NK-BLAZER-GRN-7,52.78%,60.00%,93.72%,8.07%,72.57%,38.25%
Consensus_v2,DC-Laakdal-BE,NK-REACT-PPL-8,78.57%,36.23%,72.61%,35.85%,77.16%,33.18%
Baseline_v1,DC-Memphis-TN,NK-BLAZER-BLU-10,61.05%,60.00%,90.98%,12.79%,62.89%,60.00%
Baseline_v1,DC-Memphis-TN,NK-AIR-FORCE-GLD-7,77.79%,33.15%,78.77%,37.55%,81.85%,23.30%
Consensus_v2,DC-Memphis-TN,NK-AIR-MAX-RED-12,56.98%,60.00%,83.79%,26.67%,80.17%,28.59%
Baseline_v1,DC-Dubai-UAE,NK-METCON-NVY-8,66.95%,55.82%,92.71%,11.77%,79.76%,34.27%
Baseline_v1,DC-Sao-Paulo-BR,NK-DUNK-BLK-7,50.35%,60.00%,84.75%,24.27%,83.57%,21.75%
OP_Plan_2025,DC-Shanghai-CN,NK-ALPHAFLY-BLK-7,68.35%,53.90%,88.84%,15.07%,78.46%,32.24%
Baseline_v2,DC-Tokyo-JP,NK-DUNK-GRN-10,52.65%,60.00%,83.94%,19.73%,66.32%,55.32%
OP_Plan_2025,DC-Johannesburg-ZA,NK-LEBRON-GRN-10,69.53%,53.91%,91.25%,12.79%,85.80%,23.18%
Baseline_v2,DC-Memphis-TN,NK-HUARACHE-NVY-10,69.10%,43.28%,78.03%,34.21%,63.34%,54.91%
Consensus_v1,DC-Memphis-TN,NK-FREE-RN-GRN-13,63.91%,48.64%,73.73%,43.00%,74.88%,40.52%
OP_Plan_2025,DC-Portland-OR,NK-LEBRON-NVY-8,52.93%,60.00%,87.98%,16.39%,77.35%,32.09%
Baseline_v1,DC-Sao-Paulo-BR,NK-REACT-GLD-9,74.27%,40.74%,87.88%,18.33%,64.25%,60.00%
Baseline_v2,DC-Sao-Paulo-BR,NK-CORTEZ-GRY-9,72.18%,34.24%,86.66%,23.86%,85.49%,23.05%
Baseline_v1,DC-Laakdal-BE,NK-AIR-FORCE-BLU-9,60.01%,50.88%,85.53%,26.04%,76.45%,34.95%
Consensus_v1,DC-Memphis-TN,NK-FREE-RN-GLD-7,51.76%,60.00%,74.65%,36.83%,82.68%,28.53%
Baseline_v2,DC-Sao-Paulo-BR,NK-LEGGING-EPIC-BLK-M,52.46%,60.00%,72.85%,42.29%,67.98%,40.74%
OP_Plan_2025,DC-Memphis-TN,NK-BLAZER-GLD-7,60.20%,60.00%,73.50%,36.81%,76.03%,40.14%
Consensus_v1,DC-Laakdal-BE,NK-ALPHAFLY-WHT-11,77.99%,33.40%,77.36%,27.50%,84.62%,18.65%
Consensus_v2,DC-Sao-Paulo-BR,NK-TEE-PRO-WHT-M,65.35%,53.65%,72.22%,34.22%,64.30%,43.64%
Baseline_v2,DC-Shanghai-CN,NK-METCON-GRY-12,57.64%,53.64%,89.67%,14.98%,72.96%,44.42%
Consensus_v2,DC-Shanghai-CN,NK-HUARACHE-GRY-7,63.69%,51.95%,77.37%,27.72%,62.46%,60.00%
Consensus_v1,DC-Dubai-UAE,NK-FREE-RN-GRN-10,78.13%,38.64%,93.85%,10.28%,64.32%,51.75%
OP_Plan_2025,DC-Dubai-UAE,NK-DUNK-RED-9,70.79%,45.71%,75.84%,43.36%,68.02%,56.46%
Baseline_v1,DC-Portland-OR,NK-AIR-FORCE-BLU-13,61.20%,47.90%,76.06%,31.89%,66.85%,55.29%
Consensus_v1,DC-Johannesburg-ZA,NK-AIR-MAX-GRN-11,65.72%,60.00%,85.74%,21.61%,68.77%,47.14%
Consensus_v1,DC-Laakdal-BE,NK-AIR-FORCE-NVY-13,52.93%,60.00%,77.15%,34.79%,77.42%,34.96%
Consensus_v1,DC-Laakdal-BE,NK-BLAZER-WHT-11,60.53%,60.00%,82.96%,20.90%,84.16%,19.35%
OP_Plan_2025,DC-Shanghai-CN,NK-BLAZER-GRY-12,67.04%,58.57%,77.81%,26.69%,80.09%,24.48%
Baseline_v2,DC-Johannesburg-ZA,NK-AIR-MAX-WHT-10,76.39%,33.26%,91.58%,12.61%,74.50%,39.67%
Baseline_v1,DC-Tokyo-JP,NK-KD-OGR-13,72.67%,46.53%,90.34%,15.41%,84.12%,27.33%
Baseline_v2,DC-Memphis-TN,NK-METCON-GRN-7,77.90%,26.91%,86.23%,22.75%,66.12%,58.56%
Baseline_v2,DC-Johannesburg-ZA,NK-BLAZER-RED-11,76.63%,35.16%,79.71%,33.40%,66.18%,57.18%
Consensus_v1,DC-Dubai-UAE,NK-TEE-PRO-BLK-XL,50.29%,60.00%,79.51%,31.47%,65.01%,49.89%
