Version.[Version Name],Location.[Location],Sales Domain.[Customer Group],Time.[Partial Week],Item.[Item],Actual 12 Weeks,Actual 4 Weeks,Actual 8 Weeks,Actual External,Actual Final,Published Final Fcst Lag1 12weeks,Published Final Fcst Lag1 4weeks,Published Final Fcst Lag1 8weeks,Published Final Fcst Lag1 External,Published Final Fcst Lag1 Final
Consensus_v2,DC-Tokyo-JP,Wholesale-NA,2024-W12,NK-BLAZER-PPL-11,1857,670,1330,56,1935,1982,1755,2263,66,2142
Baseline_v1,DC-Sao-Paulo-BR,DTC-eComm-NA,2024-W04,NK-SHORT-DRI-RED-XL,125,37,88,3,134,144,146,121,3,157
Baseline_v2,DC-Shanghai-CN,DTC-eComm-EMEA,2024-W29,NK-VAPORFLY-GRN-13,4395,1626,3075,294,4831,5760,4687,4584,318,4645
Consensus_v2,DC-Shanghai-CN,DTC-Stores-EMEA,2024-W29,NK-SHORT-DRI-BLK-XL,4195,1316,2736,268,4227,5385,4195,4675,278,4697
Consensus_v2,DC-Memphis-TN,Wholesale-NA,2024-W48,NK-ALPHAFLY-BLU-8,853,255,591,34,909,1078,811,1041,36,1102
Baseline_v2,DC-Shanghai-CN,Retail-EMEA,2024-W32,NK-BLAZER-WHT-7,1564,491,1115,118,1623,1824,1585,1852,120,1662
Consensus_v2,DC-Shanghai-CN,Wholesale-APAC,2024-W30,NK-HUARACHE-WHT-10,2219,775,1660,136,2429,2972,2425,2905,145,2201
Baseline_v1,DC-Shanghai-CN,Wholesale-NA,2024-W49,NK-FREE-RN-RED-13,627,189,416,45,639,496,589,608,53,617
Consensus_v2,DC-Sao-Paulo-BR,Retail-APAC,2024-W17,NK-CORTEZ-RED-7,4478,1433,3176,178,4815,4821,4518,4594,166,4331
Consensus_v2,DC-Johannesburg-ZA,Wholesale-LATAM,2024-W52,NK-DUNK-RED-11,3792,1262,2897,278,4035,4763,4216,4274,257,4584
Consensus_v2,DC-Tokyo-JP,DTC-Stores-NA,2024-W32,NK-VAPORFLY-GLD-13,3184,1070,2482,141,3485,4144,3433,3897,147,3500
OP_Plan_2025,DC-Memphis-TN,DTC-eComm-NA,2024-W02,NK-AIR-MAX-BLU-9,1742,536,1210,128,1761,2236,1920,1453,109,1594
OP_Plan_2025,DC-Laakdal-BE,DTC-eComm-EMEA,2024-W08,NK-HUARACHE-NVY-9,2071,803,1426,114,2297,2135,2165,2632,117,2395
Baseline_v1,DC-Tokyo-JP,Retail-APAC,2024-W29,NK-JACKET-WIND-RED-M,3791,1258,2672,126,3994,3807,4164,3522,149,4612
Baseline_v2,DC-Sao-Paulo-BR,Wholesale-MEA,2024-W02,NK-VAPORFLY-GRN-8,2548,898,2015,107,2808,2948,2626,2807,125,2358
Consensus_v2,DC-Laakdal-BE,Wholesale-LATAM,2024-W15,NK-KD-GRN-7,4067,1232,2917,160,4258,3336,4171,4246,146,3672
Consensus_v2,DC-Shanghai-CN,DTC-Stores-NA,2024-W39,NK-CORTEZ-GRN-12,2738,912,1998,86,2936,2126,3377,3262,89,2947
Baseline_v1,DC-Shanghai-CN,DTC-Stores-NA,2024-W01,NK-HOODIE-CLUB-WHT-XL,340,111,234,22,353,312,394,357,19,323
Baseline_v1,DC-Tokyo-JP,DTC-Stores-NA,2024-W47,NK-JORDAN-BLK-10,4168,1425,2882,141,4584,4789,5138,4841,122,4617
Consensus_v1,DC-Memphis-TN,Wholesale-NA,2024-W05,NK-BLAZER-GRY-13,1465,566,1009,106,1625,1437,1732,1684,122,1435
Consensus_v1,DC-Shanghai-CN,DTC-eComm-NA,2024-W51,NK-JORDAN-OGR-11,3075,1078,2223,181,3117,3968,3422,3090,193,3601
Baseline_v2,DC-Tokyo-JP,DTC-Stores-EMEA,2024-W24,NK-HOODIE-CLUB-BLK-M,3392,982,2199,73,3446,4089,3656,3180,80,3808
Baseline_v1,DC-Dubai-UAE,Retail-EMEA,2024-W49,NK-KD-WHT-11,2702,967,1797,160,2922,3197,3213,2812,157,3029
OP_Plan_2025,DC-Tokyo-JP,Wholesale-MEA,2024-W39,NK-REACT-OGR-11,4775,1627,3081,290,4796,5248,4872,3903,268,5827
OP_Plan_2025,DC-Tokyo-JP,DTC-Stores-NA,2024-W38,NK-ALPHAFLY-NVY-10,2610,868,1972,75,2792,2358,2722,2799,65,3245
OP_Plan_2025,DC-Tokyo-JP,DTC-eComm-NA,2024-W28,NK-HOODIE-CLUB-WHT-XL,2722,1003,2080,219,2948,2969,3017,3228,205,2823
OP_Plan_2025,DC-Johannesburg-ZA,DTC-eComm-EMEA,2024-W21,NK-VAPORFLY-RED-13,3634,1244,2606,227,3730,3824,3572,3545,256,4472
Consensus_v2,DC-Johannesburg-ZA,DTC-Stores-NA,2024-W08,NK-BLAZER-NVY-7,4177,1370,3145,137,4603,4687,4340,5662,160,5213
OP_Plan_2025,DC-Dubai-UAE,DTC-eComm-NA,2024-W51,NK-REACT-BLU-9,978,319,655,25,1021,1016,1188,1123,27,976
Baseline_v1,DC-Tokyo-JP,Wholesale-NA,2024-W34,NK-JACKET-WIND-NVY-L,2910,1014,1797,156,2947,3720,2782,3298,173,3027
Consensus_v1,DC-Tokyo-JP,Wholesale-APAC,2024-W01,NK-SHORT-DRI-GRY-XL,2103,637,1293,146,2132,2886,2494,2318,136,2054
OP_Plan_2025,DC-Tokyo-JP,DTC-eComm-NA,2024-W11,NK-VAPORFLY-GLD-10,3436,1079,2408,190,3809,4508,3993,3841,214,4015
OP_Plan_2025,DC-Shanghai-CN,Wholesale-MEA,2024-W17,NK-VAPORFLY-GRN-8,4347,1462,3247,263,4525,4962,4480,5031,250,4783
Baseline_v1,DC-Laakdal-BE,Retail-EMEA,2024-W27,NK-LEBRON-OGR-7,1295,426,979,54,1365,1006,1393,1115,48,1414
Baseline_v2,DC-Portland-OR,DTC-Stores-EMEA,2024-W22,NK-LEBRON-GLD-9,4781,1568,3051,198,4868,5065,4589,5100,177,4596
Baseline_v2,DC-Dubai-UAE,Retail-APAC,2024-W51,NK-JORDAN-GRY-11,2346,758,1682,187,2607,3115,2468,3131,208,2770
Baseline_v1,DC-Portland-OR,Wholesale-APAC,2024-W25,NK-ALPHAFLY-GRY-9,3130,1175,2392,249,3467,3001,3400,3206,284,3070
Baseline_v1,DC-Portland-OR,DTC-Stores-NA,2024-W22,NK-HUARACHE-GRN-12,3192,1028,2197,175,3279,4166,3422,3137,163,3292
Consensus_v2,DC-Sao-Paulo-BR,DTC-eComm-EMEA,2024-W49,NK-ALPHAFLY-GRY-10,779,252,525,31,849,927,844,749,27,888
OP_Plan_2025,DC-Dubai-UAE,Wholesale-APAC,2024-W13,NK-REACT-WHT-10,3472,1229,2499,176,3642,3338,3854,4453,182,4114
Baseline_v1,DC-Tokyo-JP,DTC-eComm-NA,2024-W14,NK-HUARACHE-OGR-11,319,107,217,28,353,420,358,342,28,345
Consensus_v2,DC-Portland-OR,Wholesale-MEA,2024-W25,NK-SHORT-DRI-NVY-L,4918,1458,3198,313,4955,6282,4746,5846,286,4700
Consensus_v1,DC-Sao-Paulo-BR,Retail-EMEA,2024-W08,NK-ALPHAFLY-RED-12,3880,1274,2646,156,4101,3985,4387,4081,182,4193
Baseline_v1,DC-Dubai-UAE,DTC-eComm-EMEA,2024-W13,NK-DUNK-GLD-8,745,262,527,57,782,819,816,719,59,909
Baseline_v2,DC-Johannesburg-ZA,DTC-eComm-EMEA,2024-W06,NK-BLAZER-BLK-13,4160,1227,2750,123,4247,4850,4196,4776,115,3962
Baseline_v1,DC-Shanghai-CN,Wholesale-MEA,2024-W09,NK-BLAZER-GRN-13,2155,652,1465,61,2175,1972,1992,2434,68,1906
OP_Plan_2025,DC-Portland-OR,Wholesale-MEA,2024-W52,NK-METCON-GRY-11,473,137,335,13,478,424,446,463,12,501
OP_Plan_2025,DC-Johannesburg-ZA,Wholesale-NA,2024-W49,NK-AIR-FORCE-BLU-12,116,37,79,9,122,105,119,134,8,111
Consensus_v1,DC-Johannesburg-ZA,Retail-EMEA,2024-W32,NK-HOODIE-CLUB-BLK-S,2844,954,1771,90,2944,3824,3171,2734,95,2660
Consensus_v1,DC-Johannesburg-ZA,Wholesale-MEA,2024-W10,NK-AIR-FORCE-GLD-12,989,292,678,24,1034,1018,1107,1059,21,990
Baseline_v2,DC-Laakdal-BE,Retail-APAC,2024-W14,NK-JORDAN-GLD-9,2042,592,1300,125,2102,1400,1887,2015,141,1957
Baseline_v1,DC-Sao-Paulo-BR,DTC-Stores-NA,2024-W20,NK-BLAZER-OGR-13,3704,1407,2891,179,4053,4563,3824,4496,207,4456
Baseline_v1,DC-Memphis-TN,Retail-EMEA,2024-W17,NK-ALPHAFLY-BLK-7,4072,1265,2502,168,4143,5606,4396,4584,149,4583
Baseline_v2,DC-Portland-OR,DTC-Stores-NA,2024-W25,NK-BLAZER-GRN-10,3442,1228,2420,219,3734,4493,3613,4465,226,4238
Baseline_v2,DC-Shanghai-CN,DTC-eComm-EMEA,2024-W43,NK-REACT-BLK-13,3805,1226,2504,308,4165,3940,4600,4526,306,4108
Consensus_v2,DC-Laakdal-BE,Retail-EMEA,2024-W52,NK-REACT-RED-12,533,181,329,25,542,584,610,615,22,538
Baseline_v2,DC-Shanghai-CN,Retail-EMEA,2024-W37,NK-METCON-RED-10,4528,1390,3225,194,4780,4307,4692,5318,170,4335
