Version.[Version Name],Location.[Location],Sales Domain.[Customer Group],Time.[Day],Item.[Item],D Base Forecast LC,D Base Forecast Quantity,D Base Forecast Supply Code,D Buff1 Forecast Quantity,D Buff2 Forecast Quantity,D Forecast Delivery Policy,D Forecast Early Capacity Layer Least,D Forecast Early Capacity Layer Max,D Forecast Fixed Stock Consumption Early Date,D Forecast Fixed Stock Consumption Late Date,D Forecast Force ICMP,D Forecast Is Fixed,D Forecast Is No Fair Share,D Forecast Late Capacity Layer Least,D Forecast Late Capacity Layer Max,D Forecast Quantity Policy,D Forecast Reduce Lead Time,D Is Stock Redevour Forecast
Consensus_v1,DC-Johannesburg-ZA,DTC-Stores-NA,2025-09-29,NK-LEBRON-BLK-8,249554.41,2399,SUPP-03,306,133,Express,1439,2159,2025-09-25,2025-09-30,0,1,1,1679,2399,Flexible,0,0
Consensus_v2,DC-Johannesburg-ZA,Retail-EMEA,2025-03-24,NK-VAPORFLY-PPL-12,114384.22,1854,SUPP-04,96,95,Priority,1112,1668,2025-03-20,2025-03-25,0,1,0,1297,1854,Fixed,0,1
OP_Plan_2025,DC-Johannesburg-ZA,Retail-EMEA,2025-04-07,NK-JACKET-WIND-NVY-XL,323983.18,2434,SUPP-01,145,148,Priority,1460,2190,2025-04-03,2025-04-08,0,1,0,1703,2434,Flexible,0,0
Consensus_v2,DC-Portland-OR,Retail-APAC,2025-05-05,NK-JOGGER-TECH-RED-L,666880.69,2336,SUPP-05,325,130,Express,1401,2102,2025-04-29,2025-05-06,0,0,1,1635,2336,Capped,0,0
Consensus_v1,DC-Portland-OR,Retail-APAC,2025-04-14,NK-JOGGER-TECH-BLK-M,34235.22,537,SUPP-03,49,23,Standard,322,483,2025-04-10,2025-04-15,0,1,0,375,537,Capped,1,0
Consensus_v1,DC-Portland-OR,Retail-EMEA,2025-08-25,NK-JORDAN-PPL-7,49317.8,331,SUPP-03,38,19,Standard,198,297,2025-08-20,2025-08-27,0,0,0,231,331,Min-Max,0,0
OP_Plan_2025,DC-Sao-Paulo-BR,Wholesale-LATAM,2025-10-20,NK-BLAZER-RED-10,145923.37,1346,SUPP-03,187,65,Standard,807,1211,2025-10-15,2025-10-23,0,0,0,942,1346,Flexible,1,0
Baseline_v1,DC-Sao-Paulo-BR,Wholesale-NA,2025-02-10,NK-ALPHAFLY-BLK-XL,156946.28,1396,SUPP-01,127,101,Economy,837,1256,2025-02-06,2025-02-11,0,1,1,977,1396,Min-Max,0,0
Consensus_v2,DC-Portland-OR,Wholesale-NA,2025-09-15,NK-METCON-GRN-9,260786.54,2092,SUPP-04,155,62,Priority,1255,1882,2025-09-12,2025-09-18,0,0,0,1464,2092,Fixed,1,0
Consensus_v2,DC-Memphis-TN,DTC-eComm-EMEA,2025-01-13,NK-ZOOM-PEGA-RED-L,110847.71,1532,SUPP-04,119,114,Economy,919,1378,2025-01-10,2025-01-14,0,0,0,1072,1532,Capped,0,1
