Activity3.[Activity3],Demand Type.[Demand Type],Supplier.[Supplier Location],Version.[Version Name],Activity1.[Activity1],Activity2.[Activity2],Documents.[OrderlineID],Location.[Location],Time.[Week],Item.[Item],W Procurement Forecast Due to Forecast,W Procurement Forecast Due to Orders,W Procurement Forecast Intermediate with Demand Type Input To R,W Procurement Forecast With Demand Type,W Procurement Forecast With Demand Type within Lead Time
WIP,FIRM,SUP-China-GZH,OP_Plan_2025,Transfer,Seasonal-Build,ORD-2025-000001,DC-Memphis-TN,2025-W24,NK-ZOOM-PEGA-GRN-13,1189,3967,5156,4978,2760
WIP,FIRM,SUP-China-GZH,Baseline_v2,Transfer,Replenishment,ORD-2025-000002,DC-Shanghai-CN,2025-W52,NK-AIR-MAX-BLK-8,1254,3991,5245,4986,2533
Raw-Material,FORECAST,SUP-Indonesia-JKT,Baseline_v1,Make,Seasonal-Build,ORD-2025-000003,DC-Memphis-TN,2025-W20,NK-FREE-RN-WHT-10,3635,805,4440,4223,3504
Packaging,FORECAST,SUP-Indonesia-JKT,Baseline_v2,Make,Seasonal-Build,ORD-2025-000004,DC-Sao-Paulo-BR,2025-W18,NK-CORTEZ-GRN-10,594,116,710,739,436
Packaging,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Buy,Make-to-Order,ORD-2025-000005,DC-Sao-Paulo-BR,2025-W24,NK-KD-WHT-8,1876,493,2369,2327,1628
Finished-Goods,FIRM,SUP-China-SHH,Consensus_v1,Transfer,Make-to-Stock,ORD-2025-000006,DC-Johannesburg-ZA,2025-W35,NK-FREE-RN-BLK-7,842,1921,2763,2645,2236
Raw-Material,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Transfer,Safety-Stock-Build,ORD-2025-000007,DC-Johannesburg-ZA,2025-W22,NK-ALPHAFLY-RED-10,429,67,496,514,369
WIP,FIRM,SUP-Vietnam-HCM,Baseline_v2,Make,Safety-Stock-Build,ORD-2025-000008,DC-Tokyo-JP,2025-W51,NK-KD-GRN-11,1364,4193,5557,5410,3189
WIP,FORECAST,SUP-India-CHN,Consensus_v2,Buy,Replenishment,ORD-2025-000009,DC-Laakdal-BE,2025-W22,NK-DUNK-WHT-11,1591,259,1850,1803,1160
WIP,FORECAST,SUP-Mexico-MTY,Baseline_v2,Transfer,Safety-Stock-Build,ORD-2025-000010,DC-Portland-OR,2025-W39,NK-CORTEZ-GRN-12,1362,115,1477,1435,926
WIP,FIRM,SUP-Vietnam-HCM,OP_Plan_2025,Buy,Replenishment,ORD-2025-000011,DC-Memphis-TN,2025-W44,NK-CORTEZ-RED-13,394,979,1373,1422,714
Packaging,FORECAST,SUP-China-SHH,Baseline_v2,Transfer,Make-to-Stock,ORD-2025-000012,DC-Tokyo-JP,2025-W49,NK-JORDAN-GLD-8,1559,269,1828,1803,1514
WIP,FIRM,SUP-Bangladesh-DAC,Baseline_v2,Buy,Safety-Stock-Build,ORD-2025-000013,DC-Memphis-TN,2025-W32,NK-LEBRON-GLD-11,352,2423,2775,2713,2218
WIP,FORECAST,SUP-Cambodia-PNH,Baseline_v1,Buy,Safety-Stock-Build,ORD-2025-000014,DC-Laakdal-BE,2025-W06,NK-LEBRON-OGR-13,3452,375,3827,3776,2723
