Supplier.[Supplier Location],Version.[Version Name],Activity2.[Activity2],Location.[Location],Time.[Week],Item.[Item],W Procurement Forecast,W Procurement Forecast From Purchase Orders,W Procurement Forecast Infinite Node,W Procurement Forecast Non Infinite Node,W Procurement Forecast Override,W Procurement Forecast within Lead Time For Starts,W Procurement Total Requirements,W Published Procurement Forecast
SUP-China-GZH,Consensus_v1,Seasonal-Build,DC-Shanghai-CN,2025-W40,NK-REACT-INF-RD-11,1997,1558,1583,414,119,723,2143,2116
SUP-China-SHH,Baseline_v2,Seasonal-Build,DC-Shanghai-CN,2025-W25,NK-BACKPACK-BRSLA-BLK,298,234,248,50,6,111,321,304
SUP-Bangladesh-DAC,Consensus_v1,Safety-Stock-Build,DC-Sao-Paulo-BR,2025-W52,NK-REACT-INF-RD-11,2718,1521,1409,1309,264,1068,2890,2982
SUP-Indonesia-JKT,Baseline_v1,Make-to-Order,DC-Tokyo-JP,2025-W02,NK-SPORTS-BRA-INDY-M,4327,2908,2943,1384,5,2928,4908,4332
SUP-Indonesia-JKT,Consensus_v2,Make-to-Order,DC-Dubai-UAE,2025-W06,NK-DUNK-LOW-GRN-9,1356,913,1008,348,112,500,1503,1468
SUP-Cambodia-PNH,Consensus_v2,Make-to-Stock,DC-Dubai-UAE,2025-W40,NK-SOCK-PERF-3PK-L,2924,1206,2447,477,131,1339,3476,3055
SUP-India-CHN,OP_Plan_2025,Make-to-Stock,DC-Portland-OR,2025-W07,NK-JORDAN-1-WHT-10,3787,2332,2782,1005,365,2055,4133,4152
SUP-Vietnam-HCM,Consensus_v1,Seasonal-Build,DC-Memphis-TN,2025-W39,NK-JORDAN-1-WHT-10,3906,1872,1961,1945,318,2276,4528,4224
SUP-India-CHN,Consensus_v1,Safety-Stock-Build,DC-Dubai-UAE,2025-W27,NK-REACT-INF-RD-11,4591,3397,3120,1471,43,2058,5281,4634
SUP-Cambodia-PNH,Consensus_v1,Make-to-Stock,DC-Sao-Paulo-BR,2025-W15,NK-DUNK-LOW-GRN-9,2466,1104,1936,530,187,1293,2874,2653
SUP-India-CHN,OP_Plan_2025,Replenishment,DC-Tokyo-JP,2025-W36,NK-TEE-PRO-BLK-M,2308,1109,1980,328,109,1212,2664,2417
SUP-Bangladesh-DAC,Consensus_v2,Safety-Stock-Build,DC-Shanghai-CN,2025-W44,NK-SPORTS-BRA-INDY-M,569,293,321,248,52,354,651,621
SUP-Vietnam-HCM,Consensus_v1,Make-to-Stock,DC-Shanghai-CN,2025-W13,NK-JORDAN-1-WHT-10,4484,2760,3690,794,401,1915,4782,4885
SUP-Mexico-MTY,Consensus_v1,Make-to-Stock,DC-Shanghai-CN,2025-W49,NK-BACKPACK-BRSLA-BLK,1662,774,1186,476,80,958,1812,1742
SUP-China-GZH,Baseline_v1,Make-to-Order,DC-Memphis-TN,2025-W28,NK-AIR-MAX-90-NVY-8,1418,707,1103,315,100,509,1701,1518
SUP-Cambodia-PNH,Consensus_v2,Replenishment,DC-Laakdal-BE,2025-W17,NK-FREE-RN-5-BLU-9,1856,1213,1433,423,98,889,2102,1954
SUP-China-SHH,Consensus_v1,Seasonal-Build,DC-Laakdal-BE,2025-W20,NK-ZOOM-PEGA-GRY-10,1965,1282,1480,485,105,660,2309,2070
SUP-Mexico-MTY,Baseline_v2,Make-to-Stock,DC-Laakdal-BE,2025-W28,NK-CAP-LEGACY-WHT,279,168,164,115,18,103,321,297
SUP-China-SHH,Baseline_v1,Make-to-Order,DC-Portland-OR,2025-W48,NK-METCON-8-GRY-10,4638,3482,2797,1841,306,2907,5256,4944
SUP-China-SHH,Baseline_v1,Safety-Stock-Build,DC-Laakdal-BE,2025-W49,NK-KD-15-GLD-11,2879,2168,1656,1223,80,1670,3388,2959
SUP-Indonesia-JKT,Baseline_v2,Make-to-Order,DC-Dubai-UAE,2025-W35,NK-SOCK-PERF-3PK-L,3969,2649,2906,1063,147,2683,4747,4116
SUP-Mexico-MTY,Consensus_v1,Make-to-Stock,DC-Portland-OR,2025-W48,NK-METCON-8-GRY-10,4973,2339,2522,2451,245,1847,5495,5218
SUP-Mexico-MTY,Consensus_v1,Replenishment,DC-Memphis-TN,2025-W21,NK-AIR-MAX-270-BLK-10,2642,1729,1585,1057,155,1827,2966,2797
SUP-Vietnam-HCM,Baseline_v1,Safety-Stock-Build,DC-Shanghai-CN,2025-W30,NK-SHORT-DRI-NVY-L,2969,1772,1716,1253,214,1224,3128,3183
SUP-China-GZH,Consensus_v2,Make-to-Stock,DC-Shanghai-CN,2025-W21,NK-AIR-MAX-270-BLK-10,4591,2516,2323,2268,426,2163,5486,5017
SUP-Mexico-MTY,Baseline_v2,Make-to-Order,DC-Sao-Paulo-BR,2025-W27,NK-DUNK-LOW-GRN-9,1721,805,1243,478,161,995,1954,1882
SUP-Cambodia-PNH,Baseline_v2,Replenishment,DC-Memphis-TN,2025-W25,NK-TEE-PRO-BLK-M,4411,3071,3435,976,309,1957,4825,4720
SUP-Bangladesh-DAC,Consensus_v2,Replenishment,DC-Sao-Paulo-BR,2025-W15,NK-AIR-FORCE-1-WHT-9,591,237,443,148,11,194,655,602
SUP-Indonesia-JKT,Baseline_v2,Make-to-Stock,DC-Shanghai-CN,2025-W42,NK-FREE-RN-5-BLU-9,651,410,334,317,30,336,711,681
SUP-Cambodia-PNH,Consensus_v2,Seasonal-Build,DC-Shanghai-CN,2025-W30,NK-JACKET-WIND-RED-XL,1655,1017,1043,612,137,676,1977,1792
SUP-Mexico-MTY,Consensus_v1,Safety-Stock-Build,DC-Memphis-TN,2025-W26,NK-AIR-MAX-90-NVY-8,3557,1619,1967,1590,344,2083,3756,3901
SUP-Cambodia-PNH,Baseline_v2,Make-to-Stock,DC-Tokyo-JP,2025-W01,NK-SOCK-PERF-3PK-L,1084,468,727,357,74,350,1287,1158
SUP-China-GZH,OP_Plan_2025,Make-to-Stock,DC-Tokyo-JP,2025-W14,NK-AIR-MAX-90-NVY-8,2680,1776,1807,873,195,855,3041,2875
SUP-India-CHN,Consensus_v2,Make-to-Stock,DC-Dubai-UAE,2025-W30,NK-AIR-MAX-90-NVY-8,651,341,580,71,11,199,758,662
